model_id,scenario,kind,comparison_group,optimization_scope,status,skip_reason,pruning_sparsity,observed_sparsity,perplexity,perplexity_increase_percent,logits_mse,logits_kl_divergence,top1_agreement,generated_token_agreement,storage_megabytes,quality_acceptable,canonical_source,canonical_source_priority,canonical_table,method_family,evidence_level,delta_ppl_le_2pct,delta_ppl_le_5pct,delta_ppl_le_10pct
facebook/opt-350m,attention_pruning_75,pruning_magnitude,bf16,attention_only,complete,,0.75,0.75,565.4300062305973,1595.7021857318011,44.84745517969132,1.216581892967224,0.4,0.0456030700355768,631.70703125,False,modelos_opt_complementar_lacunas_2026-09-17,103,model_quality,pruning_unstructured,A_numeric_change,False,False,False
facebook/opt-350m,attention_int8_fake,quantization_int8_fake_per_row,bf16,attention_only,complete,,0.0,0.0,33.34848825851116,0.01079498378524,0.0059872819809243,0.0009841065621003,1.0,0.8519208163022995,631.70703125,True,modelos_opt_complementar_lacunas_2026-09-17,103,model_quality,int8_fake,A_numeric_change,True,True,True
facebook/opt-350m,blocks_pruning_50,pruning_magnitude,bf16,transformer_blocks,complete,,0.5,0.5,131.1549505249908,293.3285001222108,10.22776499390602,0.5687209114432334,0.55,0.0686732459813356,631.70703125,False,modelos_opt_complementar_lacunas_2026-09-17,103,model_quality,pruning_unstructured,A_numeric_change,False,False,False
facebook/opt-350m,blocks_int8_fake,quantization_int8_fake_per_row,bf16,transformer_blocks,complete,,0.0,0.0,33.360011225982284,0.0453519066786,0.0124626119155436,0.0012836089823395,1.0,0.7760279595851898,631.70703125,True,modelos_opt_complementar_lacunas_2026-09-17,103,model_quality,int8_fake,A_numeric_change,True,True,True
facebook/opt-350m,attention_int8_weight_only,quantization_int8_weight_only,bf16,attention_only,complete,,0.0,0.0,33.38611971259852,0.12365022359397,0.0101248222403228,0.0010399160935776,1.0,0.7635279595851898,535.89453125,True,modelos_opt_v1_2026-09-15,100,model_quality,int8_weight_only,B_physical_compression,True,True,True
facebook/opt-350m,attention_int8_dynamic,quantization_int8_dynamic,bf16,attention_only,complete,,0.0,0.0,33.33278768739035,-0.03629040693229,0.4961908783763647,0.0175892171449959,1.0,0.3602987945079803,535.89453125,True,modelos_opt_v1_2026-09-15,100,model_quality,int8_dynamic,C_physical_acceleration_candidate,True,True,True
facebook/opt-350m,blocks_int8_weight_only,quantization_int8_weight_only,bf16,transformer_blocks,complete,,0.0,0.0,33.39850856525283,0.1608039018444,0.0098698196234181,0.0013853226846549,1.0,0.7502467095851898,344.12890625,True,modelos_opt_v1_2026-09-15,100,model_quality,int8_weight_only,B_physical_compression,True,True,True
facebook/opt-350m,blocks_int8_dynamic,quantization_int8_dynamic,bf16,transformer_blocks,complete,,0.0,0.0,33.56827914164659,0.66993913395381,0.2658367987722158,0.0282109013292938,1.0,0.3536622811108827,344.12890625,True,modelos_opt_v1_2026-09-15,100,model_quality,int8_dynamic,C_physical_acceleration_candidate,True,True,True
facebook/opt-350m,attention_pruning_2to4,pruning_2to4,fp16,attention_only,complete,,0.5,0.5,64.03190121750185,92.10235621197907,6.931484124064445,0.319907309487462,0.75,0.0863541670143604,547.70703125,False,modelos_opt_v1_2026-09-15,100,model_quality,pruning_2to4,C_physical_acceleration_candidate,False,False,False
facebook/opt-350m,blocks_pruning_2to4,pruning_2to4,fp16,transformer_blocks,complete,,0.5,0.5,376.9690615838164,1030.9463497466186,13.29026757478714,1.2508855059742927,0.4,0.0676041670143604,379.70703125,False,modelos_opt_v1_2026-09-15,100,model_quality,pruning_2to4,C_physical_acceleration_candidate,False,False,False
facebook/opt-1.3b,baseline_bf16,baseline,bf16,none,complete,,0.0,0.0,21.393936939911445,0.0,0.0,-2.6077032089233397e-09,1.0,1.0,2509.609375,True,modelos_opt_sensibilidade_1_3b_2026-09-19,106,model_quality,baseline,reference,True,True,True
facebook/opt-1.3b,baseline_fp16,baseline,fp16,none,complete,,0.0,0.0,21.388116623852,0.0,0.0,7.450580596923829e-10,1.0,1.0,2509.609375,True,modelos_opt_v1_2026-09-15,100,model_quality,baseline,reference,True,True,True
facebook/opt-1.3b,attention_pruning_10,pruning_magnitude,bf16,attention_only,complete,,0.1,0.0999999046325683,21.4236942888926,0.13909244037098,0.0455370512790977,0.0232726312475278,0.95,0.3378125011920929,2509.609375,True,modelos_opt_complementar_lacunas_2026-09-17,103,model_quality,pruning_unstructured,A_numeric_change,True,True,True
facebook/opt-1.3b,attention_pruning_25,pruning_magnitude,bf16,attention_only,complete,,0.25,0.25,22.503964587881143,5.18851509699875,0.1539504207670688,0.0593141176970675,0.9,0.2556250005960464,2509.609375,False,modelos_opt_complementar_lacunas_2026-09-17,103,model_quality,pruning_unstructured,A_numeric_change,False,False,True
facebook/opt-1.3b,attention_pruning_50,pruning_magnitude,bf16,attention_only,complete,,0.5,0.5,28.643750975466485,33.887236631188514,0.7304480656981468,0.2281176175922155,0.8,0.1264062501490116,2509.609375,False,modelos_opt_complementar_lacunas_2026-09-17,103,model_quality,pruning_unstructured,A_numeric_change,False,False,False
facebook/opt-1.3b,attention_pruning_75,pruning_magnitude,bf16,attention_only,complete,,0.75,0.75,221.35472819442128,934.6610295063227,1.6992193937301636,0.7275963202118874,0.65,0.046875,2509.609375,False,modelos_opt_complementar_lacunas_2026-09-17,103,model_quality,pruning_unstructured,A_numeric_change,False,False,False
facebook/opt-1.3b,attention_int8_fake,quantization_int8_fake_per_row,bf16,attention_only,complete,,0.0,0.0,21.383933993353576,-0.04675598785751,0.0054534895927645,0.0012868700738181,1.0,0.7026562511920929,2509.609375,True,modelos_opt_complementar_lacunas_2026-09-17,103,model_quality,int8_fake,A_numeric_change,True,True,True
facebook/opt-1.3b,blocks_pruning_50,pruning_magnitude,bf16,transformer_blocks,complete,,0.5,0.5,3866.8153127872793,17974.351268996892,2.344238954782486,1.0625294402241707,0.55,0.0508670346811413,2509.609375,False,modelos_opt_complementar_lacunas_2026-09-17,103,model_quality,pruning_unstructured,A_numeric_change,False,False,False
facebook/opt-1.3b,blocks_int8_fake,quantization_int8_fake_per_row,bf16,transformer_blocks,complete,,0.0,0.0,21.37172626877523,-0.1038175965396,0.0066668596700765,0.0021578383108135,1.0,0.6804803252220154,2509.609375,True,modelos_opt_complementar_lacunas_2026-09-17,103,model_quality,int8_fake,A_numeric_change,True,True,True
facebook/opt-1.3b,attention_int8_weight_only,quantization_int8_weight_only,bf16,attention_only,complete,,0.0,0.0,21.41477416479824,0.09739780455237,0.006279224762693,0.0013771768077276,1.0,0.8114583328366279,2125.984375,True,modelos_opt_v1_2026-09-15,100,model_quality,int8_weight_only,B_physical_compression,True,True,True
facebook/opt-1.3b,attention_int8_dynamic,quantization_int8_dynamic,bf16,attention_only,complete,,0.0,0.0,22.273944234625837,4.11334901652762,0.4397584795951843,0.097747138235718,0.8,0.1060937501490116,2125.984375,False,modelos_opt_v1_2026-09-15,100,model_quality,int8_dynamic,C_physical_acceleration_candidate,False,True,True
facebook/opt-1.3b,blocks_int8_weight_only,quantization_int8_weight_only,bf16,transformer_blocks,complete,,0.0,0.0,21.37567255554018,-0.08537177810031,0.0081694259075447,0.0020928089041262,1.0,0.7087500005960464,1358.453125,True,modelos_opt_v1_2026-09-15,100,model_quality,int8_weight_only,B_physical_compression,True,True,True
facebook/opt-1.3b,blocks_int8_dynamic,quantization_int8_dynamic,bf16,transformer_blocks,complete,,0.0,0.0,21.894448531179957,2.33950204057478,0.3449485294520855,0.0796396177262067,0.8,0.0890625001862645,1358.453125,False,modelos_opt_v1_2026-09-15,100,model_quality,int8_dynamic,C_physical_acceleration_candidate,False,True,True
facebook/opt-1.3b,attention_pruning_2to4,pruning_2to4,fp16,attention_only,complete,,0.5,0.5,31.44290820193152,47.011112548668436,0.3795500092208385,0.147183886077255,0.85,0.19296875,2173.609375,False,modelos_opt_v1_2026-09-15,100,model_quality,pruning_2to4,C_physical_acceleration_candidate,False,False,False
facebook/opt-1.3b,blocks_pruning_2to4,pruning_2to4,fp16,transformer_blocks,complete,,0.5,0.5,272.38377031108206,1173.5285443848763,1.7443446815013883,0.817924688756466,0.65,0.048306381329894,1501.609375,False,modelos_opt_v1_2026-09-15,100,model_quality,pruning_2to4,C_physical_acceleration_candidate,False,False,False
facebook/opt-2.7b,baseline_bf16,baseline,bf16,none,complete,,0.0,0.0,18.17803210104967,0.0,0.0,-1.4901161193847655e-09,1.0,1.0,5057.51953125,True,modelos_opt_complementar_lacunas_2026-09-17,103,model_quality,baseline,reference,True,True,True
