model_id,scenario,kind,comparison_group,optimization_scope,status,skip_reason,pruning_sparsity,observed_sparsity,perplexity,perplexity_increase_percent,logits_mse,logits_kl_divergence,top1_agreement,generated_token_agreement,storage_megabytes,quality_acceptable,canonical_source,canonical_source_priority,canonical_table,canonical_duplicate_resolution
facebook/opt-1.3b,attention_int8_fake,quantization_int8_fake_per_row,bf16,attention_only,complete,,0.0,0.0,21.383933993353576,-0.04675598785751,0.0054534895927645,0.0012868700738181,1.0,0.7026562511920929,2509.609375,True,modelos_opt_v1_2026-09-15,100,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-1.3b,blocks_pruning_50,pruning_magnitude,bf16,transformer_blocks,complete,,0.5,0.5,3866.8153127872793,17974.351268996892,2.344238954782486,1.0625294402241707,0.55,0.0508670346811413,2509.609375,False,modelos_opt_v1_2026-09-15,100,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-1.3b,blocks_int8_fake,quantization_int8_fake_per_row,bf16,transformer_blocks,complete,,0.0,0.0,21.37172626877523,-0.1038175965396,0.0066668596700765,0.0021578383108135,1.0,0.6804803252220154,2509.609375,True,modelos_opt_v1_2026-09-15,100,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-2.7b,baseline_bf16,baseline,bf16,none,complete,,0.0,0.0,18.17803210104967,0.0,0.0,-1.4901161193847655e-09,1.0,1.0,5057.51953125,True,modelos_opt_2_7b_2026-09-15,101,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-2.7b,attention_pruning_10,pruning_magnitude,bf16,attention_only,complete,,0.1,0.1,18.382600272943545,1.12535928397916,0.2438358483836054,0.0146409192238934,1.0,0.4796875,5057.51953125,True,modelos_opt_2_7b_2026-09-15,101,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-2.7b,attention_pruning_25,pruning_magnitude,bf16,attention_only,complete,,0.25,0.25,19.13588909834085,5.26931073708398,0.5186970479786396,0.0357528400141745,0.85,0.403125,5057.51953125,False,modelos_opt_2_7b_2026-09-15,101,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-2.7b,attention_pruning_50,pruning_magnitude,bf16,attention_only,complete,,0.5,0.5,41.530459235353206,128.46510009713913,1.7146550759673118,0.4061330352909863,0.7,0.1306261777877807,5057.51953125,False,modelos_opt_2_7b_2026-09-15,101,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-2.7b,attention_pruning_75,pruning_magnitude,bf16,attention_only,complete,,0.75,0.75,391.8358237684338,2055.545889622495,6.136519289016723,1.6827072136104106,0.55,0.0301339287310838,5057.51953125,False,modelos_opt_2_7b_2026-09-15,101,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-2.7b,attention_int8_fake,quantization_int8_fake_per_row,bf16,attention_only,complete,,0.0,0.0,18.238395969588456,0.33207042546317,0.0032848821196239,0.0012694774195551,0.95,0.59296875,5057.51953125,True,modelos_opt_2_7b_2026-09-15,101,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-2.7b,blocks_pruning_50,pruning_magnitude,bf16,transformer_blocks,complete,,0.5,0.5,60.28978411478091,231.6628762653552,2.315462106466293,0.7981880575418472,0.6,0.0680837396532297,5057.51953125,False,modelos_opt_2_7b_2026-09-15,101,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-2.7b,blocks_int8_fake,quantization_int8_fake_per_row,bf16,transformer_blocks,complete,,0.0,0.0,18.1876738362928,0.05304058871462,0.004488271503942,0.0012191996676847,1.0,0.56640625,5057.51953125,True,modelos_opt_2_7b_2026-09-15,101,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-6.7b,baseline_bf16,baseline,bf16,none,complete,,0.0,0.0,15.34603333272162,0.0,0.0,-3.725290298461913e-10,1.0,1.0,12700.03125,True,modelos_opt_6_7b_2026-09-16,102,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-6.7b,attention_pruning_10,pruning_magnitude,bf16,attention_only,complete,,0.1,0.1000000238418579,15.420981831602925,0.48839004357885,0.0511799956671893,0.0214326694840565,0.9,0.4652083337306976,12700.03125,True,modelos_opt_6_7b_2026-09-16,102,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-6.7b,attention_pruning_25,pruning_magnitude,bf16,attention_only,complete,,0.25,0.25,15.813000788145098,3.0429195955659902,0.0817692941054701,0.043762667174451,0.95,0.2953125,12700.03125,True,modelos_opt_6_7b_2026-09-16,102,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-6.7b,attention_pruning_50,pruning_magnitude,bf16,attention_only,complete,,0.5,0.5,23.11027608582384,50.59446037137747,0.3945189386606216,0.1420107799582183,0.75,0.20546875,12700.03125,False,modelos_opt_6_7b_2026-09-16,102,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-6.7b,attention_pruning_75,pruning_magnitude,bf16,attention_only,complete,,0.75,0.75,219.233111803361,1328.5979122429026,2.193919071555137,1.0962739296257495,0.55,0.0421875,12700.03125,False,modelos_opt_6_7b_2026-09-16,102,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-6.7b,attention_int8_fake,quantization_int8_fake_per_row,bf16,attention_only,complete,,0.0,0.0,15.353899093965577,0.0512559895669,0.0018985324481036,0.0008779315612628,1.0,0.77265625,12700.03125,True,modelos_opt_6_7b_2026-09-16,102,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-6.7b,blocks_pruning_50,pruning_magnitude,bf16,transformer_blocks,complete,,0.5,0.5,1035.1942636193228,6645.679754337735,2.943596237897873,2.103465797007084,0.35,0.0296875,12700.03125,False,modelos_opt_6_7b_2026-09-16,102,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-6.7b,blocks_int8_fake,quantization_int8_fake_per_row,bf16,transformer_blocks,complete,,0.0,0.0,15.34215808844998,-0.025252416618810003,0.0026750936056487,0.0010987849353114,1.0,0.825,12700.03125,True,modelos_opt_6_7b_2026-09-16,102,model_quality,replaced_by_higher_or_equal_priority
