model_id,operation,scenario,paired_cases,speedup_mean,speedup_median,speedup_ci95_low,speedup_ci95_high,memory_ratio_mean,memory_ratio_median,memory_ratio_ci95_low,memory_ratio_ci95_high,storage_ratio_mean,kernel_confirmed,conclusion,canonical_source,canonical_source_priority,canonical_table,method_family,evidence_level,measurement_label,physical_kernel_status
facebook/opt-1.3b,model_prefill,attention_int8_dynamic,30,0.9667680040843121,0.9819465244017985,0.878338234754103,1.0485301436959418,0.8533444805022496,0.8472597372205579,0.8472591430461461,0.8509997885740365,0.8471375649845901,False,mista,modelos_opt_v1_2026-09-15,100,model_performance_summary,int8_dynamic,C_physical_acceleration_candidate,model_prefill,not_confirmed
facebook/opt-1.3b,model_prefill,attention_int8_weight_only,30,0.033087014096786424,0.02834014939074978,0.027470515567771192,0.028760953527014264,0.8529904998180448,0.8472594995515699,0.8472418188548809,0.8480069523144975,0.8471375649845901,False,contradita,modelos_opt_v1_2026-09-15,100,model_performance_summary,int8_weight_only,B_physical_compression,model_prefill,not_confirmed
facebook/opt-1.3b,model_prefill,attention_pruning_2to4,30,0.8111243214081948,0.8341584911747015,0.7800939489534684,0.8745461458022045,0.8759559304962926,0.8661562098284792,0.8661556891631754,0.8702774293343767,0.8661146219219874,False,contradita,modelos_opt_v1_2026-09-15,100,model_performance_summary,pruning_2to4,C_physical_acceleration_candidate,model_prefill,not_confirmed
facebook/opt-1.3b,model_prefill,blocks_int8_dynamic,30,1.221286347599446,1.271037818102575,0.9576284736737473,1.3998361622668922,0.5599094033532015,0.5416104467593507,0.5415573852161948,0.5433059470934235,0.5413006257198892,False,mista,modelos_opt_v1_2026-09-15,100,model_performance_summary,int8_dynamic,C_physical_acceleration_candidate,model_prefill,not_confirmed
facebook/opt-1.3b,model_prefill,blocks_int8_weight_only,30,0.011443788905003954,0.009755249305031216,0.009433309965260674,0.009813899289336719,0.5603606177010111,0.5416111600278091,0.5416093768508363,0.5509185538579251,0.5413006257198892,False,contradita,modelos_opt_v1_2026-09-15,100,model_performance_summary,int8_weight_only,B_physical_compression,model_prefill,not_confirmed
facebook/opt-1.3b,model_prefill,blocks_pruning_2to4,30,0.8836647780359068,0.8933518817174482,0.8071247038858127,0.924439743023846,0.6221839621539111,0.6022529033146918,0.6022513560399724,0.6116693908659947,0.5983438657659621,False,contradita,modelos_opt_v1_2026-09-15,100,model_performance_summary,pruning_2to4,C_physical_acceleration_candidate,model_prefill,not_confirmed
facebook/opt-1.3b,model_ttft,attention_int8_dynamic,12,0.9728476217959265,0.9827835200791306,0.8774825843829752,1.0731727256511017,0.8472418930513456,0.84724175938302,0.8472241677171819,0.8472596183855092,0.8471375649845906,False,mista,modelos_opt_v1_2026-09-15,100,model_performance_summary,int8_dynamic,C_physical_acceleration_candidate,prefill_to_first_logit,not_confirmed
facebook/opt-1.3b,model_ttft,attention_int8_weight_only,12,0.030386553452044805,0.027353757260031045,0.027074255934107956,0.033662947383683514,0.8472418930513456,0.84724175938302,0.8472241677171819,0.8472596183855092,0.8471375649845906,False,contradita,modelos_opt_v1_2026-09-15,100,model_performance_summary,int8_weight_only,B_physical_compression,prefill_to_first_logit,not_confirmed
facebook/opt-1.3b,model_ttft,attention_pruning_2to4,12,0.8331945131892753,0.8177573068176687,0.7786426447553384,0.8869641457799562,0.8661405732753112,0.8661404561439472,0.8661250408553496,0.8661561056952726,0.8661146219219874,False,contradita,modelos_opt_v1_2026-09-15,100,model_performance_summary,pruning_2to4,C_physical_acceleration_candidate,prefill_to_first_logit,not_confirmed
facebook/opt-1.3b,model_ttft,blocks_int8_dynamic,12,1.2467179042506562,1.2559142455693815,0.9961510783807255,1.5117430460988817,0.5415576078872227,0.5415572067351784,0.5415044123825304,0.541610803391915,0.541300625719889,False,mista,modelos_opt_v1_2026-09-15,100,model_performance_summary,int8_dynamic,C_physical_acceleration_candidate,prefill_to_first_logit,not_confirmed
facebook/opt-1.3b,model_ttft,blocks_int8_weight_only,12,0.010441775270671859,0.009341498508661124,0.009242132365986536,0.011606596501641992,0.5415576078872227,0.5415572067351784,0.5415044123825304,0.541610803391915,0.541300625719889,False,contradita,modelos_opt_v1_2026-09-15,100,model_performance_summary,int8_weight_only,B_physical_compression,prefill_to_first_logit,not_confirmed
facebook/opt-1.3b,model_ttft,blocks_pruning_2to4,12,0.9258992145896942,0.9148508122324799,0.8729749475866047,0.9319045545843294,0.6022064357601135,0.6022060876777715,0.6021602776609125,0.6022525938593146,0.598343865765962,False,contradita,modelos_opt_v1_2026-09-15,100,model_performance_summary,pruning_2to4,C_physical_acceleration_candidate,prefill_to_first_logit,not_confirmed
facebook/opt-125m,model_prefill,attention_int8_dynamic,30,0.8152402808915084,0.8058506932225611,0.6766580770746706,0.932063719205368,0.8861868145026764,0.8690216776744778,0.8690164834837991,0.886178037160992,0.8872645211930925,False,contradita,modelos_opt_v1_2026-09-15,100,model_performance_summary,int8_dynamic,C_physical_acceleration_candidate,model_prefill,not_confirmed
facebook/opt-125m,model_prefill,attention_int8_weight_only,30,0.06798039291088202,0.05530637047993936,0.05083400272027057,0.06541435423698835,0.8918454254269099,0.8725748151234973,0.8725697618391388,0.8969308109064359,0.8872645211930925,False,contradita,modelos_opt_v1_2026-09-15,100,model_performance_summary,int8_weight_only,B_physical_compression,model_prefill,not_confirmed
facebook/opt-125m,model_prefill,attention_pruning_2to4,30,0.6484101974919836,0.6580323281812002,0.6211496579904635,0.6797537121793978,0.9004301954912756,0.8822507697837739,0.8822461002175194,0.9070234110557529,0.9010989010989012,False,contradita,modelos_opt_v1_2026-09-15,100,model_performance_summary,pruning_2to4,C_physical_acceleration_candidate,model_prefill,not_confirmed
facebook/opt-125m,model_prefill,blocks_int8_dynamic,30,0.7556491595492836,0.7701631045122492,0.6104240625374618,0.9422568977615879,0.682521247710159,0.6467280416805479,0.6459037636363998,0.6467644627197983,0.6615728021978023,False,contradita,modelos_opt_v1_2026-09-15,100,model_performance_summary,int8_dynamic,C_physical_acceleration_candidate,model_prefill,not_confirmed
facebook/opt-125m,model_prefill,blocks_int8_weight_only,30,0.024509143314620063,0.01941496845264841,0.01779657425139073,0.023572307455019363,0.6905346148729101,0.6467364471305672,0.6467224378027574,0.6838258817547016,0.6615728021978023,False,contradita,modelos_opt_v1_2026-09-15,100,model_performance_summary,int8_weight_only,B_physical_compression,model_prefill,not_confirmed
facebook/opt-125m,model_prefill,blocks_pruning_2to4,30,0.6210659076389321,0.6038010142046142,0.5532399966250034,0.69001955166598,0.7367827655542342,0.696714339172971,0.6967023118120729,0.7456788084617614,0.7032967032967036,False,contradita,modelos_opt_v1_2026-09-15,100,model_performance_summary,pruning_2to4,C_physical_acceleration_candidate,model_prefill,not_confirmed
facebook/opt-125m,model_ttft,attention_int8_dynamic,12,0.8057880633611273,0.7991368463245893,0.7053394126253705,0.9015270702062862,0.8688653575086954,0.8688641906857195,0.8687100761958786,0.8690206388215119,0.8872645211930926,False,contradita,modelos_opt_v1_2026-09-15,100,model_performance_summary,int8_dynamic,C_physical_acceleration_candidate,prefill_to_first_logit,not_confirmed
facebook/opt-125m,model_ttft,attention_int8_weight_only,12,0.060875778663009965,0.0526913147077267,0.04700163215234303,0.07395390068173616,0.8724227355604741,0.8724216003906937,0.8722716666687507,0.8725738044521978,0.8872645211930926,False,contradita,modelos_opt_v1_2026-09-15,100,model_performance_summary,int8_weight_only,B_physical_compression,prefill_to_first_logit,not_confirmed
facebook/opt-125m,model_ttft,attention_pruning_2to4,12,0.6926805953688532,0.6877672736527289,0.64076987366534,0.7432320765293968,0.8821102382907653,0.8821091893194184,0.88197064072434,0.8822498358571907,0.9010989010989011,False,contradita,modelos_opt_v1_2026-09-15,100,model_performance_summary,pruning_2to4,C_physical_acceleration_candidate,prefill_to_first_logit,not_confirmed
facebook/opt-125m,model_ttft,blocks_int8_dynamic,12,0.7779335485077553,0.7565750464221036,0.628553995169552,0.9291438576906594,0.6463148337202791,0.6463116866649294,0.6458960222155518,0.6467336452250065,0.6615728021978021,False,contradita,modelos_opt_v1_2026-09-15,100,model_performance_summary,int8_dynamic,C_physical_acceleration_candidate,prefill_to_first_logit,not_confirmed
facebook/opt-125m,model_ttft,blocks_int8_weight_only,12,0.02159430820611072,0.01858841451244753,0.016419903520083358,0.02643060355415204,0.6463148337202791,0.6463116866649294,0.6458960222155518,0.6467336452250065,0.6615728021978021,False,contradita,modelos_opt_v1_2026-09-15,100,model_performance_summary,int8_weight_only,B_physical_compression,prefill_to_first_logit,not_confirmed
facebook/opt-125m,model_ttft,blocks_pruning_2to4,12,0.6727641751662871,0.720318299308997,0.5484918914841359,0.7512409541238015,0.6963523734374341,0.6963496716111244,0.6959928132084168,0.6967119336664516,0.7032967032967034,False,contradita,modelos_opt_v1_2026-09-15,100,model_performance_summary,pruning_2to4,C_physical_acceleration_candidate,prefill_to_first_logit,not_confirmed
