stage,operation,scenario,comparison_group,paired_cases,data_seeds,repetitions,speedup_mean,speedup_median,speedup_std,speedup_ci95_low,speedup_ci95_high,peak_memory_ratio_mean,peak_memory_ratio_median,peak_memory_ratio_ci95_low,peak_memory_ratio_ci95_high,storage_ratio_mean,mse_mean,mae_mean,r2_mean,cosine_similarity_mean,hardware_kernel_confirmed,performance_conclusion,canonical_source,canonical_source_priority,canonical_table
synthetic_hardware,dense_projection,int8_weight_only,bf16_quantized,30,5,3,0.14414841471093837,0.08335999030901034,0.12363870331269292,0.07202167507328419,0.12029303691107797,0.8125289510930241,0.8014820592823713,0.8014820592823713,0.8014820592823713,0.5029239766081871,0.0001050040079559962,0.0076712892855766305,0.999929507159395,0.9999647564518774,False,contradita,hardware_stress_complementar_v3_2026-09-17,12,operation_summary
synthetic_hardware,dense_projection,pruning_2to4,fp16_sparse,30,5,3,0.84566990541473,0.845742291101419,0.07021058726069071,0.8319810248594457,0.8603304337856891,0.8377372806225643,0.8252730109204368,0.8252730109204368,0.8252730109204368,0.5633528265107214,0.1971768773830352,0.34407830099744385,0.8672639721266626,0.931271177360066,True,contradita,hardware_stress_complementar_v3_2026-09-17,12,operation_summary
synthetic_hardware,multi_head_self_attention,int8_dynamic,bf16_quantized,30,5,3,0.7022033976565539,0.6391433392033842,0.28815660236773455,0.6229759770392979,0.6701271878291101,0.6317499593664563,0.6386226482073127,0.6386226482073127,0.6386226482073127,0.501953125,0.0009061157294887814,0.01662622988748546,0.99701334774348,0.9985073075912183,True,contradita,hardware_stress_complementar_v3_2026-09-17,12,operation_summary
synthetic_hardware,multi_head_self_attention,int8_weight_only,bf16_quantized,30,5,3,0.09720747123522695,0.07678788863430488,0.047641580424987374,0.05957074071943239,0.13626567989692756,0.6378084139872114,0.6386226482073127,0.6386226482073127,0.6386226482073127,0.501953125,8.240660420783711e-05,0.00549628421505567,0.9996053426339677,0.9998027501888072,False,contradita,hardware_stress_complementar_v3_2026-09-17,12,operation_summary
synthetic_hardware,multi_head_self_attention,pruning_2to4,fp16_sparse,30,5,3,0.7593216719023467,0.7068247912806982,0.37030935635808887,0.6019942117459635,0.7985493967754329,0.6917739032187349,0.6819311324103656,0.6819311324103656,0.6819311324103656,0.5625,0.10074805256190252,0.1959724444294352,0.4870762195778654,0.697365968772495,True,contradita,hardware_stress_complementar_v3_2026-09-17,12,operation_summary
synthetic_hardware,dense_projection,int8_dynamic,bf16_quantized,120,5,3,0.7663014638948323,0.7671529214412155,0.11037916559213379,0.7576069147793849,0.7877073132070672,0.8298158367349657,0.8014820592823713,0.7226681127982646,0.8758536585365854,0.502741406361432,0.0001271645209345625,0.008771248334717843,0.999872826566571,0.9999364154423783,True,contradita,hardware_crossover_v3_2026-09-19,13,operation_summary
synthetic_hardware,dense_projection,int8_weight_only,bf16_quantized,120,5,3,0.151969749276264,0.09772902855744339,0.15118596285416677,0.08095159027391753,0.10938012314263046,0.8270651501486416,0.8014820592823713,0.7301699716713881,0.8758536585365854,0.502741406361432,7.1521612712087e-05,0.006451200559391781,0.999928473478419,0.9999642400759126,False,contradita,hardware_crossover_v3_2026-09-19,13,operation_summary
synthetic_hardware,dense_projection,pruning_2to4,fp16_sparse,120,5,3,0.8332419885934473,0.8340733019218344,0.09035557112715208,0.81733693861183,0.8427556142280923,0.8284720396730616,0.8252730109204368,0.7617629654326235,0.8907317073170732,0.5632995768554176,0.13232238256764,0.2898405276368436,0.8676724405207114,0.9314908827287552,True,contradita,hardware_crossover_v3_2026-09-19,13,operation_summary
synthetic_hardware,multi_head_self_attention,int8_dynamic,bf16_quantized,120,5,3,0.6819100531464393,0.6412656004361978,0.22983367640719293,0.6274279063924036,0.6654696686345897,0.6738718883356121,0.6386226482073127,0.6341964652692149,0.6918681832470299,0.5018310546875,9.860754301705412e-06,0.0023701343719733925,0.999490576797131,0.9997454361144692,True,contradita,hardware_crossover_v3_2026-09-19,13,operation_summary
synthetic_hardware,multi_head_self_attention,int8_weight_only,bf16_quantized,120,5,3,0.099086371755806,0.0779034795142062,0.0700554082985513,0.07001951575565696,0.08574257137281606,0.6724695168967593,0.6492979372227996,0.6341964652692149,0.7160390516039051,0.5018310546875,5.617867929405534e-06,0.0017870119360798825,0.999706194454354,0.9998531856504812,False,contradita,hardware_crossover_v3_2026-09-19,13,operation_summary
synthetic_hardware,multi_head_self_attention,pruning_2to4,fp16_sparse,120,5,3,0.7682380480824821,0.7133414348104407,0.4084055826291136,0.6265300057643466,0.7805045439156288,0.7477811224586458,0.7500697350069735,0.6819311324103656,0.7500697350069735,0.5625,0.007834002926782381,0.06745039404301276,0.5882525774616916,0.7671798603999604,True,contradita,hardware_crossover_v3_2026-09-19,13,operation_summary
